Consulta,Clics,Impresiones,CTR,Posición
animals from peru,4.0,1360.0,0.0029,3.48
what is coca tea,4.0,1325.0,0.003,7.29
love park,4.0,1310.0,0.0031,18.7
rainbow mountain peru,4.0,1239.0,0.0032,75.56
best time to visit lima peru,4.0,1227.0,0.0033,10.76
san blas market,4.0,1199.0,0.0033,8.13
huayna picchu,4.0,1157.0,0.0035,57.95
cristo blanco cusco,4.0,1129.0,0.0035,10.05
south american camelids,4.0,1066.0,0.0038,7.36
inca engineering,4.0,990.0,0.004,10.15
lima historic center,4.0,985.0,0.0041,7.99
2 day inca trail,4.0,945.0,0.0042,39.99
huaraz peru elevation,4.0,895.0,0.0045,7.51
animales de peru,4.0,878.0,0.0046,2.3
chicha de jora peru,4.0,829.0,0.0048,7.94
parque del amor lima peru,4.0,818.0,0.0049,8.42
agencias de viajes peru,4.0,794.0,0.005,33.46
machu picchu tours from usa,4.0,759.0,0.0053,15.57
vacation to machu picchu,4.0,744.0,0.0054,17.66
bajada de reyes en ingles,4.0,693.0,0.0058,3.81
downtown lima peru,4.0,670.0,0.006,11.33
catacombs in lima peru,4.0,625.0,0.0064,6.91
costa verde lima miraflores,4.0,622.0,0.0064,6.41
agencias de viaje en cusco,4.0,603.0,0.0066,6.93
la costa verde peru,4.0,523.0,0.0076,3.46
things to do in arequipa,4.0,515.0,0.0078,37.6
convent of san francisco lima,4.0,509.0,0.0079,9.72
peru all inclusive tours,4.0,494.0,0.0081,12.55
benefits of coca tea,4.0,487.0,0.0082,5.09
peru travel packages from usa,4.0,487.0,0.0082,8.01
te de coca,4.0,446.0,0.009,2.01
costa verde peru lima,4.0,438.0,0.0091,4.11
aguas calientes peru hot springs,4.0,438.0,0.0091,17.04
basilica catedral de lima,4.0,428.0,0.0093,11.43
catacombs peru lima,4.0,405.0,0.0099,6.83
lord of the miracles,4.0,382.0,0.0105,8.78
what to wear in peru,4.0,378.0,0.0106,16.52
coca thee,4.0,366.0,0.0109,16.9
carnival peru,4.0,362.0,0.011,9.19
te de coca beneficios,4.0,348.0,0.0115,2.14
hot springs near me,4.0,348.0,0.0115,8.77
all inclusive peru trip,4.0,336.0,0.0119,9.6
agencia de viajes en peru,4.0,329.0,0.0122,15.59
sacred valley,4.0,325.0,0.0123,58.99
geoglyphs and petroglyphs,4.0,324.0,0.0123,3.17
tea for altitude sickness in peru,4.0,323.0,0.0124,5.75
peru festivals 2026,4.0,315.0,0.0127,3.16
catacombs of lima peru,4.0,309.0,0.0129,5.29
machu picchu route 1a,4.0,291.0,0.0137,3.12
travel agencies in lima peru,4.0,286.0,0.014,4.4
travel agency lima,4.0,284.0,0.0141,10.08
quero peru,4.0,266.0,0.015,7.36
lima cathedral catacombs,4.0,254.0,0.0157,4.37
what to wear for machu picchu,4.0,242.0,0.0165,6.76
costa verde beach lima peru,4.0,241.0,0.0166,4.23
peruvian paso horse,4.0,218.0,0.0183,13.36
machu picchu dress code,4.0,210.0,0.019,3.88
machu picchu route 2,4.0,205.0,0.0195,8.11
how to get to nazca lines from lima,4.0,198.0,0.0202,8.59
travel agency for peru,4.0,195.0,0.0205,13.15
cusco carnival 2026,4.0,194.0,0.0206,6.05
clima en huaraz,4.0,189.0,0.0212,2.05
route 2 machu picchu,4.0,178.0,0.0225,10.19
what to eat on holy week,4.0,177.0,0.0226,3.58
huacachina history,4.0,170.0,0.0235,4.14
best hotels in ica peru,4.0,152.0,0.0263,10.77
peru halloween,4.0,146.0,0.0274,9.08
altitude arequipa,4.0,140.0,0.0286,38.96
can you get pisco in the us,4.0,138.0,0.029,3.33
agencia viajes peru,4.0,133.0,0.0301,34.77
lima museum of anthropology,4.0,127.0,0.0315,8.17
when is carnival in peru,4.0,125.0,0.032,2.47
mejores agencias de turismo en cusco,4.0,118.0,0.0339,4.8
machu,4.0,118.0,0.0339,31.62
lima currency exchange,4.0,115.0,0.0348,5.23
elevation of cusco peru,4.0,111.0,0.036,11.64
catacombs lima tour,4.0,109.0,0.0367,4.78
inca water management,4.0,93.0,0.043,4.49
machu picchu höhe,4.0,92.0,0.0435,2.55
package tour to machu picchu,4.0,88.0,0.0455,8.32
puno candelaria 2026,4.0,86.0,0.0465,4.81
elevation of machu picchu,4.0,83.0,0.0482,3.06
machu picchu weather by month,4.0,82.0,0.0488,3.5
cusco travel agencies,4.0,80.0,0.05,14.35
lima money exchange,4.0,78.0,0.0513,4.78
agencia de viajes cusco peru,4.0,78.0,0.0513,35.85
peruvian dia de los muertos,4.0,75.0,0.0533,2.31
machu picchu package holiday,4.0,75.0,0.0533,21.63
holy week foods,4.0,71.0,0.0563,3.62
la candelaria puno 2026,4.0,65.0,0.0615,4.71
btg cusco,4.0,62.0,0.0645,12.03
elevation of arequipa peru,4.0,54.0,0.0741,4.13
gran travel,4.0,53.0,0.0755,9.96
clima en lima,4.0,51.0,0.0784,2.61
